1001,Deposit,1000.0,N/A,2025-05-10 09:56:06
1001,withdraw,100.0,N/A,2025-05-10 09:56:16
1002,Deposit,2000.0,N/A,2025-05-10 09:59:15
1002,withdraw,200.0,N/A,2025-05-10 09:59:21
1002,Transfer,100.0,1001,2025-05-10 09:59:42
1001,Recieved,100.0,1002,2025-05-10 09:59:42
1004,Deposit,1000.0,N/A,2025-05-10 10:17:29
1006,Initial Balance,N/A,6000.0,2025-05-10 11:06:03
1006,Deposit,2000.0,N/A,2025-05-10 11:06:39
1007,Initial Balance,N/A,7000.0,2025-05-10 11:13:21
1007,Deposit,3000.0,N/A,2025-05-10 11:13:54
1007,withdraw,1000.0,N/A,2025-05-10 11:14:05
1007,Transfer,1000.0,1001,2025-05-10 11:14:24
1001,Recieved,1000.0,1007,2025-05-10 11:14:24
1008,Initial Balance,N/A,9000.0,2025-05-10 11:22:34
1008,Deposit,1000.0,N/A,2025-05-10 11:23:51
1008,withdraw,2000.0,N/A,2025-05-10 11:24:05
1008,Transfer,1000.0,1001,2025-05-10 11:24:38
1001,Recieved,1000.0,1008,2025-05-10 11:24:38
